,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,Sale Condition
2513,160,FV,72.5,4447,Pave,None,IR1,Lvl,AllPub,FR2,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,2,PConc,4,3,1,1,0.0,1,0.0,530.0,530.0,GasA,4,Y,SBrkr,530,550,0,1080,0.0,0.0,2,1,2,1,3,4,7,0,0,Attchd,2003.0,2,2.0,496.0,3,3,2,0,50,0,0,0,0,0,0,None,0,7,2006,WD ,Normal
642,20,RL,53.0,8128,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1954,1954,Hip,CompShg,MetalSd,MetalSd,BrkFace,80.0,2,2,CBlock,3,3,1,5,490.0,1,0.0,572.0,1062.0,GasA,3,Y,SBrkr,1062,0,0,1062,1.0,0.0,1,0,3,1,2,6,7,0,0,Attchd,1954.0,1,1.0,297.0,3,3,2,0,0,0,0,0,0,0,0,None,0,2,2009,WD ,Normal
2883,120,RM,41.0,5748,Pave,None,IR1,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,TwnhsE,1Story,8,5,2005,2006,Hip,CompShg,CemntBd,CmentBd,Stone,473.0,3,2,PConc,5,3,4,6,1573.0,1,0.0,0.0,1573.0,GasA,4,Y,SBrkr,1778,0,0,1778,2.0,0.0,2,0,2,1,4,5,7,1,4,Attchd,2005.0,3,2.0,495.0,3,3,2,123,53,0,0,153,0,0,0,None,0,2,2006,New,Partial
744,30,RM,51.0,6120,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1Story,5,6,1925,1999,Gable,CompShg,MetalSd,MetalSd,None,0.0,2,2,BrkTil,3,3,1,1,0.0,1,0.0,960.0,960.0,GasA,3,Y,SBrkr,995,0,0,995,0.0,0.0,1,0,2,1,2,5,7,0,0,Detchd,1926.0,1,1.0,264.0,3,3,2,0,15,51,0,0,0,0,3,None,0,3,2009,WD ,Abnorml
1263,20,RL,73.0,10920,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,212.0,2,2,CBlock,3,3,1,4,733.0,1,0.0,520.0,1253.0,GasA,2,Y,SBrkr,1253,0,0,1253,1.0,0.0,1,1,2,1,2,5,7,1,2,Attchd,1960.0,2,1.0,352.0,3,3,2,0,213,176,0,0,0,0,2,None,0,5,2008,WD ,Normal
900,20,RL,70.0,11767,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,5,1956,1956,Hip,CompShg,HdBoard,HdBoard,BrkFace,259.0,2,2,CBlock,3,3,1,3,546.0,1,0.0,604.0,1150.0,GasA,4,Y,SBrkr,1560,0,0,1560,0.0,0.0,1,0,2,1,2,7,6,1,3,Attchd,1956.0,1,1.0,313.0,3,3,2,0,0,0,0,0,0,0,0,None,0,5,2009,WD ,Normal
2827,180,RM,35.0,3675,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,TwnhsE,SFoyer,6,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,82.0,2,2,PConc,4,3,4,6,547.0,1,0.0,0.0,547.0,GasA,3,Y,SBrkr,1072,0,0,1072,1.0,0.0,1,0,2,1,2,5,7,0,0,Basment,2005.0,3,2.0,525.0,3,3,2,0,44,0,0,0,0,0,0,None,0,10,2006,New,Partial
929,50,RL,78.0,15600,Pave,None,Reg,Bnk,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,1.5Fin,5,7,1949,2005,Gable,CompShg,BrkComm,Brk Cmn,None,0.0,2,2,BrkTil,3,3,1,4,312.0,3,507.0,248.0,1067.0,GasW,1,N,SBrkr,986,537,0,1523,1.0,0.0,2,0,3,1,1,7,2,1,3,Attchd,1949.0,1,1.0,295.0,3,3,2,0,0,81,0,0,0,0,0,None,0,10,2009,WD ,Normal
867,60,RL,70.0,8749,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2002,2002,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,2,PConc,4,3,1,1,0.0,1,0.0,840.0,840.0,GasA,4,Y,SBrkr,840,885,0,1725,0.0,0.0,2,1,3,1,3,6,7,0,0,Attchd,2002.0,2,2.0,550.0,3,3,2,0,48,0,0,0,0,0,0,None,0,11,2009,WD ,Normal
2683,30,RM,50.0,6000,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1Story,5,7,1921,1950,Gable,CompShg,Wd Sdng,Wd Shng,None,0.0,2,2,CBlock,3,3,1,2,616.0,1,0.0,0.0,616.0,GasA,3,Y,SBrkr,616,0,0,616,0.0,0.0,1,0,2,1,2,4,7,0,0,Detchd,1921.0,1,1.0,205.0,3,3,2,0,0,129,0,0,0,0,0,None,0,6,2006,WD ,Normal
2803,120,RM,37.0,4435,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,TwnhsE,1Story,6,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,169.0,3,2,PConc,4,3,2,6,662.0,1,0.0,186.0,848.0,GasA,4,Y,SBrkr,848,0,0,848,1.0,0.0,1,0,1,1,3,3,7,1,4,Attchd,2004.0,2,2.0,420.0,3,3,2,140,0,0,0,0,0,0,0,None,0,5,2006,WD ,Normal
435,20,RL,129.0,16870,Pave,None,IR1,Lvl,AllPub,FR3,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2004,2005,Hip,CompShg,VinylSd,VinylSd,BrkFace,238.0,3,2,PConc,5,3,4,6,1531.0,1,0.0,251.0,1782.0,GasA,4,Y,SBrkr,1782,0,0,1782,1.0,0.0,2,0,3,1,3,7,7,2,4,Attchd,2004.0,3,3.0,932.0,3,3,2,99,82,0,0,0,0,0,0,None,0,4,2009,WD ,Normal
2410,20,RL,65.0,10237,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,RRAn,Norm,1Fam,1Story,6,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,2,PConc,4,3,1,6,28.0,1,0.0,1288.0,1316.0,GasA,4,Y,SBrkr,1316,0,0,1316,0.0,0.0,2,0,3,1,3,6,7,1,4,Attchd,2005.0,3,2.0,397.0,3,3,2,100,0,0,23,0,0,0,0,None,0,10,2006,New,Partial
237,20,RL,68.0,9571,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,6,1956,1956,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,2,2,CBlock,3,3,3,4,739.0,1,0.0,405.0,1144.0,GasA,2,Y,SBrkr,1144,0,0,1144,1.0,0.0,1,0,3,1,2,6,7,0,0,Attchd,1956.0,1,1.0,596.0,3,3,2,44,0,0,0,0,0,0,0,None,0,6,2010,WD ,Normal
869,20,RL,90.0,15750,Pave,None,Reg,Lvl,AllPub,FR3,Gtl,CollgCr,Feedr,Norm,1Fam,1Story,8,5,1999,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,260.0,3,2,PConc,4,3,4,6,1246.0,1,0.0,216.0,1462.0,GasA,4,Y,SBrkr,1513,0,0,1513,1.0,0.0,2,0,2,1,3,5,7,1,3,Attchd,1999.0,3,2.0,521.0,3,3,2,135,34,0,0,0,0,0,0,None,0,6,2009,WD ,Normal
109,20,FV,80.0,8000,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,7,5,2002,2002,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,2,PConc,4,3,1,6,833.0,1,0.0,659.0,1492.0,GasA,4,Y,SBrkr,1492,0,0,1492,1.0,0.0,2,0,3,1,3,6,7,1,4,Attchd,2002.0,2,2.0,596.0,3,3,2,277,137,0,0,0,0,0,0,None,0,4,2010,WD ,Normal
1948,50,RL,60.0,10284,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,4,7,1925,1993,Gable,CompShg,MetalSd,MetalSd,None,0.0,2,2,CBlock,3,3,2,5,1030.0,2,66.0,55.0,1151.0,GasA,4,Y,SBrkr,845,436,0,1281,1.0,0.0,2,0,1,1,2,6,4,0,0,Detchd,1978.0,1,2.0,580.0,3,3,2,0,0,0,0,0,0,0,0,None,0,8,2007,WD ,Abnorml
163,50,RL,71.0,8520,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Artery,Norm,1Fam,1.5Fin,5,4,1952,1952,Gable,CompShg,BrkFace,Wd Sdng,None,0.0,2,1,CBlock,3,3,1,3,507.0,1,0.0,403.0,910.0,GasA,1,Y,SBrkr,910,475,0,1385,0.0,0.0,2,0,4,1,2,6,7,0,0,Detchd,2000.0,1,2.0,720.0,3,3,2,0,0,0,0,0,0,0,3,None,0,6,2010,WD ,Normal
1979,30,RM,60.0,10800,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,4,7,1885,1995,Mansard,CompShg,VinylSd,VinylSd,None,0.0,2,2,BrkTil,2,3,1,1,0.0,1,0.0,641.0,641.0,GasA,3,Y,SBrkr,1047,0,0,1047,0.0,0.0,1,0,2,1,2,6,7,0,0,Detchd,1954.0,1,1.0,273.0,2,2,0,0,0,0,0,0,0,0,0,Shed,450,8,2007,WD ,Normal
252,20,RL,64.0,7360,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2010,2010,Gable,CompShg,VinylSd,VinylSd,Stone,80.0,3,2,PConc,4,3,1,6,24.0,1,0.0,1198.0,1222.0,GasA,4,Y,SBrkr,1222,0,0,1222,0.0,0.0,2,0,2,1,3,6,7,0,0,Attchd,2009.0,2,2.0,615.0,3,3,2,0,54,0,0,0,0,0,0,None,0,3,2010,WD ,Normal
1862,60,FV,72.5,7050,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,2001,2001,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,2,PConc,4,3,1,6,738.0,1,0.0,319.0,1057.0,GasA,4,Y,SBrkr,1057,872,0,1929,1.0,0.0,2,1,3,1,3,7,7,1,3,Attchd,2001.0,3,2.0,650.0,3,3,2,0,235,0,0,0,0,0,0,None,0,5,2007,WD ,Normal
1532,70,RL,74.0,11988,Pave,None,IR1,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,2Story,6,7,1934,1995,Hip,CompShg,Stucco,Stucco,None,0.0,2,2,CBlock,3,3,1,2,326.0,1,0.0,389.0,715.0,GasA,1,Y,FuseA,849,811,0,1660,0.0,0.0,1,1,3,1,2,6,7,1,4,Detchd,1939.0,1,1.0,240.0,3,3,2,0,0,0,0,0,0,0,0,None,0,8,2008,WD ,Normal
2504,120,FV,34.0,3628,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,1Story,7,5,2004,2004,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,2,PConc,4,3,1,1,0.0,1,0.0,1143.0,1143.0,GasA,4,Y,SBrkr,1143,0,0,1143,0.0,0.0,1,1,1,1,3,5,7,1,4,Attchd,2004.0,2,2.0,588.0,3,3,2,0,191,0,0,0,0,0,0,None,0,5,2006,WD ,Normal
789,20,RL,68.0,9571,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,5,1956,1956,Hip,CompShg,MetalSd,MetalSd,None,0.0,2,2,CBlock,3,3,1,3,257.0,1,0.0,816.0,1073.0,GasA,2,Y,FuseA,1073,0,0,1073,1.0,0.0,1,0,2,1,2,5,7,0,0,Attchd,1956.0,1,1.0,340.0,3,3,2,0,0,0,0,0,0,0,4,None,0,2,2009,WD ,Normal
1178,120,RL,38.0,14963,Pave,None,IR2,Lvl,AllPub,Inside,Gtl,Veenker,Norm,Norm,TwnhsE,1Story,8,5,1996,1996,Gable,CompShg,BrkFace,BrkFace,None,0.0,3,2,PConc,4,3,1,6,786.0,1,0.0,474.0,1260.0,GasA,4,Y,SBrkr,1288,0,0,1288,1.0,0.0,1,1,1,1,4,4,7,2,4,Attchd,1996.0,3,2.0,500.0,3,3,2,120,30,0,0,224,0,0,0,None,0,12,2008,WD ,Normal
1429,20,RL,80.5,11500,Pave,None,IR1,Bnk,AllPub,CulDSac,Gtl,ClearCr,Norm,Norm,1Fam,1Story,6,6,1966,1966,Flat,Tar&Grv,Plywood,Plywood,None,0.0,2,2,CBlock,4,4,4,2,262.0,5,723.0,197.0,1182.0,GasA,4,Y,SBrkr,1643,0,0,1643,1.0,0.0,2,0,2,1,2,6,7,1,4,Attchd,1966.0,1,2.0,438.0,3,3,2,339,0,0,0,0,0,0,0,None,0,3,2008,WD ,Normal
2276,60,RL,88.0,12665,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,2Story,8,5,2005,2006,Hip,CompShg,VinylSd,VinylSd,BrkFace,245.0,3,2,PConc,4,4,4,1,0.0,1,0.0,1094.0,1094.0,GasA,4,Y,SBrkr,1133,1349,0,2482,0.0,0.0,2,1,4,1,3,9,7,1,4,BuiltIn,2005.0,3,3.0,642.0,3,3,2,144,39,0,0,0,0,0,0,None,0,2,2007,WD ,Normal
2926,20,RL,74.0,8885,Pave,None,IR1,Low,AllPub,Inside,Mod,Mitchel,Norm,Norm,1Fam,1Story,5,5,1983,1983,Gable,CompShg,HdBoard,HdBoard,None,0.0,2,2,CBlock,4,3,3,4,301.0,5,324.0,239.0,864.0,GasA,2,Y,SBrkr,902,0,0,902,1.0,0.0,1,0,2,1,2,5,7,0,0,Attchd,1983.0,1,2.0,484.0,3,3,2,164,0,0,0,0,0,0,3,None,0,6,2006,WD ,Normal
1736,20,RL,73.0,8899,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,7,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,2,PConc,4,3,3,6,24.0,1,0.0,1316.0,1340.0,GasA,4,Y,SBrkr,1340,0,0,1340,0.0,0.0,2,0,3,1,3,6,7,0,0,Attchd,2007.0,3,2.0,396.0,3,3,2,100,30,0,0,0,0,0,0,None,0,8,2007,New,Partial
1078,160,RL,36.0,2448,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,Twnhs,2Story,7,5,2003,2004,Gable,CompShg,VinylSd,Wd Shng,Stone,106.0,3,2,PConc,4,3,1,6,573.0,1,0.0,191.0,764.0,GasA,4,Y,SBrkr,764,862,0,1626,1.0,0.0,2,1,2,1,3,6,7,0,0,BuiltIn,2003.0,2,2.0,474.0,3,3,2,0,27,0,0,0,0,0,0,None,0,10,2008,WD ,Normal
1378,80,RL,80.0,13014,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,SLvl,6,5,1978,1978,Gable,CompShg,HdBoard,Plywood,BrkFace,39.0,2,2,CBlock,3,3,3,5,528.0,1,0.0,480.0,1008.0,GasA,2,Y,SBrkr,1096,0,0,1096,1.0,0.0,1,0,3,1,2,6,7,1,2,Attchd,1978.0,1,2.0,484.0,3,3,2,168,0,0,0,0,0,0,0,None,0,12,2008,WD ,Normal
718,70,RM,60.0,3600,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,6,7,1917,2007,Gable,CompShg,Stucco,Stucco,None,0.0,2,2,BrkTil,3,3,1,1,0.0,1,0.0,624.0,624.0,GasA,4,Y,SBrkr,664,624,0,1288,1.0,0.0,1,0,3,1,4,5,7,1,4,Attchd,1917.0,1,1.0,280.0,3,3,0,0,103,0,0,0,0,0,0,None,0,5,2009,WD ,Normal
2850,70,RL,96.0,13132,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,2Story,5,5,1914,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,2,2,BrkTil,4,3,2,1,0.0,1,0.0,747.0,747.0,GasA,3,Y,FuseF,892,892,0,1784,0.0,0.0,1,1,4,1,2,9,7,0,0,Detchd,1914.0,1,1.0,180.0,2,2,0,203,40,0,0,0,0,0,0,None,0,7,2006,WD ,Normal
461,120,RL,48.0,6240,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,8,5,2006,2006,Hip,CompShg,MetalSd,MetalSd,BrkFace,176.0,3,2,PConc,4,3,1,6,863.0,1,0.0,461.0,1324.0,GasA,4,Y,SBrkr,1324,0,0,1324,1.0,0.0,2,0,2,1,3,6,7,1,4,Attchd,2006.0,3,2.0,550.0,3,3,2,192,38,0,0,0,0,0,0,None,0,12,2009,WD ,Normal
2867,20,RL,90.0,14115,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,1Story,6,7,1956,2004,Gable,CompShg,Stone,Stone,None,0.0,2,2,PConc,3,3,1,5,296.0,6,547.0,230.0,1073.0,GasA,4,Y,SBrkr,1811,0,0,1811,0.0,0.0,1,0,2,1,4,6,7,1,4,Attchd,1956.0,3,2.0,470.0,3,3,2,0,0,280,0,0,0,0,0,None,0,7,2006,WD ,Abnorml
157,50,RL,78.0,17503,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Artery,Norm,1Fam,1.5Fin,6,5,1948,1950,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,2,CBlock,3,3,1,1,0.0,1,0.0,912.0,912.0,GasA,2,Y,SBrkr,912,546,0,1458,0.0,1.0,1,0,3,1,2,6,7,1,4,Attchd,1948.0,1,1.0,330.0,3,3,2,192,0,0,0,0,0,0,0,None,0,1,2010,WD ,Abnorml
